Semana,Ano,Infectados
1,2008,0
2,2008,0
3,2008,0
4,2008,2
5,2008,4
6,2008,4
7,2008,10
8,2008,11
9,2008,10
10,2008,12
11,2008,7
12,2008,8
13,2008,14
14,2008,12
15,2008,10
16,2008,12
17,2008,16
18,2008,0
19,2008,10
20,2008,15
21,2008,11
22,2008,6
23,2008,4
24,2008,6
25,2008,6
26,2008,0
27,2008,2
28,2008,0
29,2008,0
30,2008,2
31,2008,8
32,2008,2
33,2008,0
34,2008,2
35,2008,2
36,2008,0
37,2008,0
38,2008,0
39,2008,0
40,2008,0
41,2008,0
42,2008,0
43,2008,2
44,2008,0
45,2008,0
46,2008,0
47,2008,0
48,2008,0
49,2008,0
50,2008,0
51,2008,0
52,2008,0
53,2008,0
1,2009,0
2,2009,0
3,2009,0
4,2009,0
5,2009,1
6,2009,1
7,2009,2
8,2009,4
9,2009,5
10,2009,2
11,2009,1
12,2009,2
13,2009,2
14,2009,2
15,2009,1
16,2009,1
17,2009,3
18,2009,0
19,2009,0
20,2009,1
21,2009,1
22,2009,1
23,2009,0
24,2009,1
25,2009,1
26,2009,1
27,2009,1
28,2009,0
29,2009,0
30,2009,0
31,2009,1
32,2009,0
33,2009,0
34,2009,0
35,2009,0
36,2009,0
37,2009,0
38,2009,1
39,2009,1
40,2009,0
41,2009,0
42,2009,1
43,2009,0
44,2009,0
45,2009,0
46,2009,0
47,2009,0
48,2009,0
49,2009,0
50,2009,0
51,2009,0
52,2009,2
53,2009,0
1,2010,0
2,2010,0
3,2010,2
4,2010,0
5,2010,0
6,2010,2
7,2010,0
8,2010,0
9,2010,0
10,2010,2
11,2010,0
12,2010,0
13,2010,4
14,2010,0
15,2010,0
16,2010,0
17,2010,0
18,2010,0
19,2010,2
20,2010,0
21,2010,0
22,2010,0
23,2010,0
24,2010,0
25,2010,0
26,2010,0
27,2010,0
28,2010,2
29,2010,1
30,2010,0
31,2010,6
32,2010,0
33,2010,0
34,2010,0
35,2010,3
36,2010,8
37,2010,8
38,2010,2
39,2010,12
40,2010,6
41,2010,5
42,2010,6
43,2010,16
44,2010,7
45,2010,2
46,2010,2
47,2010,6
48,2010,7
49,2010,8
50,2010,2
51,2010,4
52,2010,6
53,2010,4
1,2011,0
2,2011,7
3,2011,6
4,2011,8
5,2011,9
6,2011,15
7,2011,9
8,2011,7
9,2011,7
10,2011,13
11,2011,6
12,2011,6
13,2011,1
14,2011,1
15,2011,0
16,2011,0
17,2011,1
18,2011,0
19,2011,0
20,2011,0
21,2011,0
22,2011,0
23,2011,0
24,2011,0
25,2011,0
26,2011,0
27,2011,0
28,2011,0
29,2011,0
30,2011,0
31,2011,0
32,2011,0
33,2011,0
34,2011,0
35,2011,0
36,2011,0
37,2011,0
38,2011,0
39,2011,0
40,2011,0
41,2011,0
42,2011,0
43,2011,0
44,2011,0
45,2011,0
46,2011,0
47,2011,0
48,2011,0
49,2011,0
50,2011,0
51,2011,0
52,2011,1
53,2011,1
1,2012,1
2,2012,0
3,2012,1
4,2012,0
5,2012,0
